    xe         ye         ze        pxe        pye        pze
3.75020838 0.20292902 88.46054077 0.10938430 0.01779953 -0.11828627
4.20996475 0.52444935 88.38791656 -0.13218939 0.06442055 -0.00536662
4.28535366 0.59131575 88.36565399 -0.06468904 0.09690037 -0.00637910
3.82347965 0.51639205 88.13028717 -0.07924435 0.07709683 -0.01493057
4.03334188 0.10022348 88.20079803 0.07605445 -0.12530938 0.03266338
4.15977669 0.53579414 88.09465027 0.06820063 0.09977279 -0.08861922
4.02502298 0.52077407 88.20844269 -0.17442320 -0.03761756 0.04434759
4.00829077 0.15639248 88.21955109 -0.00794677 0.02545499 -0.01487950
4.35708857 0.47356480 88.28266907 -0.03276052 0.02224811 0.07898434
4.31440639 0.35709560 88.23245239 -0.04233087 0.09231928 0.03613489
4.19432783 0.19881129 88.32717896 -0.10259800 0.04771796 0.01582311
3.75314808 0.08040287 88.19809723 0.01390447 -0.02384007 0.03882647
4.08781672 0.39342606 88.43161011 0.08064984 0.09557348 0.00952855
3.78226018 0.11505659 88.20669556 0.06126055 0.01804685 -0.01459010
4.03970575 0.35415649 88.37631989 0.03124842 0.09755713 -0.04569232
3.95843387 0.50945783 88.47319031 0.01326259 0.13023846 0.06362208
4.24090719 0.03472310 88.16658783 0.04026841 -0.08607592 0.06531221
4.21479034 0.06292078 88.08058167 -0.11908177 0.01471289 0.03538438
3.92192483 0.20869958 88.41136932 -0.01989156 0.07050402 -0.04729208
4.28580189 0.14521682 88.03816986 0.00064982 0.06416385 0.00906839
4.09410095 0.18545976 88.29866028 0.04419499 -0.06556344 0.11565899
3.79139280 0.22320753 88.12339020 -0.02904304 0.08769827 -0.01675754
4.37054300 0.04272369 88.44281006 0.03922322 0.02093954 -0.00095793
4.18242788 0.46405312 88.46657562 0.00942638 0.19786483 0.06168479
3.95296669 0.31811762 88.43144989 -0.13442160 0.12414269 0.13237995
3.86313272 0.32105592 88.18044281 0.05698144 -0.00583722 0.08162151
4.06901503 0.30203032 88.17384338 0.01407428 0.13606805 0.01391048
4.06495333 0.09767577 88.19271851 -0.02318251 0.05188138 -0.13981934
3.95517015 0.30513954 88.27349854 -0.04604084 0.15000309 0.06888206
3.86942673 0.29229793 88.10926819 0.01286414 -0.11966892 0.05904500
4.06334114 0.40637174 88.11959076 0.15366952 0.00164823 0.06747921
3.83734417 0.02887348 88.45005035 -0.00258987 0.01154318 -0.08779894
4.08708906 0.12724200 88.20689392 0.09751225 0.08929117 -0.05557499
3.79619265 0.11444452 88.48726654 -0.04941887 0.07565192 -0.02828332
4.24944925 0.06060456 88.22348785 0.03286560 0.08745802 -0.06028333
3.93207574 0.15026869 88.10621643 -0.10219655 0.01426175 0.12049385
3.85327339 0.06414080 88.28881073 0.00095720 0.16364285 0.07100730
3.95340514 0.43184498 88.01142120 -0.05271253 -0.01573454 0.01992653
4.04454994 0.57722515 88.00791931 0.02193215 0.06566577 0.02422003
4.31175232 0.20525157 88.01403809 -0.02901649 0.10957517 0.11279248
4.48871088 0.53711498 88.24871826 0.05508291 -0.00647609 -0.02598662
4.84037542 0.55191052 88.35008240 0.16752651 0.00220252 -0.09457027
4.71779966 0.61922950 88.30944061 0.02684072 0.00559385 -0.01368071
4.48991203 0.30473760 88.25170898 0.01899789 -0.00903554 -0.00159760
4.93505144 0.52207756 88.38014221 0.03307319 -0.03032884 0.01792535
4.55211926 0.08452409 88.13668060 -0.02855952 -0.02695223 -0.03215721
4.72021580 0.53086305 88.48358917 -0.01673017 0.01765439 -0.00106124
4.93751097 0.00010865 88.33153534 0.00552709 -0.03541155 -0.00753310
4.38262463 0.54226559 88.03208923 -0.03852103 0.03771430 -0.04950956
4.59751177 0.44095004 88.36402893 -0.03022831 -0.01077203 -0.00181154
4.75770617 0.34661213 88.35482025 -0.02018214 -0.10634644 0.00766436
4.58100891 0.56880283 88.05226898 0.05523349 0.03547084 -0.05804796
4.47093010 0.30326152 88.37016296 0.07895024 -0.06756350 0.04701720
4.58062124 0.14411005 88.05759430 0.04657428 -0.00664123 0.00747564
4.77567482 0.11903045 88.45690155 -0.02853768 -0.01573807 -0.09376023
4.82459354 0.26572978 88.17797089 -0.02068908 0.00331432 -0.02518726
4.83847904 0.60664499 88.10941315 0.04466800 0.03800543 0.00500479
4.82285070 0.59902227 88.00156403 -0.03743557 0.02314538 -0.08637302
4.75306749 0.44029567 88.47983551 -0.02553527 -0.00331829 0.01682356
4.39379406 0.17208369 88.24933624 -0.08445794 -0.01402939 -0.06457131
4.48126888 0.19146986 88.39099121 0.01577893 0.03331731 -0.01685457
4.75105047 0.23914587 88.09022522 -0.02667201 -0.07374328 0.01969174
4.50024509 0.40977529 88.38086700 0.10044341 0.07661784 -0.04382028
4.76219893 0.33078036 88.24395752 -0.00460911 0.05619122 0.03694324
4.78169489 0.36157590 88.23639679 0.16881628 0.08183970 -0.05729593
4.82284975 0.41224313 88.12334442 -0.01662046 0.06974991 0.03033472
4.69773674 0.50200254 88.14749908 0.01365121 0.13655114 -0.12555316
4.64963722 0.11782169 88.34168243 -0.09003114 -0.07452222 -0.05599103
4.90596581 0.14839992 88.41557312 0.08336925 0.03460275 0.03884886
4.38125563 0.20191623 88.21187592 0.09206476 0.06604393 -0.01690173
4.78022289 0.41848603 88.14993286 -0.07474490 0.01707951 -0.04389250
4.58682442 0.09046837 88.34048462 -0.02314394 -0.05312824 0.11916560
4.41258764 0.11082536 88.24884796 0.07916813 0.00620765 0.09855963
4.71665859 0.25352880 88.44248199 0.03733414 0.09296166 0.03569194
4.82255650 0.50793397 88.28158569 -0.02584532 -0.03916800 0.11272942
4.93566418 0.42499793 88.42908478 -0.01848939 0.12461311 0.00453861
